timestamp,wind_speed_m_s,wind_direction_deg
00:10,1.6,25
00:20,1.7,27
00:30,1.8,29
00:40,1.9,31
00:50,2.0,33
01:00,2.1,35
01:10,2.2,37
01:20,2.3,39
01:30,2.4,41
01:40,2.5,43
01:50,2.6,45
02:00,2.7,47
02:10,2.8,49
02:20,2.9,51
02:30,3.0,53
02:40,3.1,55
02:50,3.2,57
03:00,3.3,59
03:10,3.4,61
03:20,3.5,63
03:30,3.6,65
03:40,3.7,67
03:50,3.8,69
04:00,3.9,71
04:10,4.0,73
04:20,4.1,75
04:30,4.2,77
04:40,4.3,79
04:50,4.4,81
05:00,4.5,83
05:10,4.6,85
05:20,4.7,87
05:30,4.8,89
05:40,4.9,91
05:50,5.0,93
06:00,5.1,95
06:10,5.2,97
06:20,5.3,99
06:30,5.4,101
06:40,5.5,103
06:50,5.6,105
07:00,5.7,107
07:10,5.8,109
07:20,5.9,111
07:30,6.0,113
07:40,6.1,115
07:50,6.2,117
08:00,6.3,119
08:10,6.4,121
08:20,6.5,123
08:30,6.6,125
08:40,6.7,127
08:50,6.8,129
09:00,6.9,131
09:10,7.0,133
09:20,7.1,135
09:30,7.2,137
09:40,7.3,139
09:50,7.4,141
10:00,7.5,143
10:10,7.6,145
10:20,7.7,147
10:30,7.8,149
10:40,7.9,151
10:50,8.0,153
11:00,8.1,155
11:10,8.2,157
11:20,8.3,159
11:30,8.4,161
11:40,8.5,163
11:50,8.6,165
12:00,8.7,167
12:10,8.8,169
12:20,8.9,171
12:30,9.0,173
12:40,9.1,175
12:50,9.2,177
13:00,9.3,179
13:10,9.4,181
13:20,9.5,183
13:30,9.6,185
13:40,9.7,187
13:50,9.8,189
14:00,9.9,191
14:10,10.0,193
14:20,9.8,195
14:30,9.6,197
14:40,9.4,199
14:50,9.2,201
15:00,9.0,203
15:10,8.8,205
15:20,8.6,207
15:30,8.4,209
15:40,8.2,211
15:50,8.0,213
16:00,7.8,215
16:10,7.6,217
16:20,7.4,219
16:30,7.2,221
16:40,7.0,223
16:50,6.8,225
17:00,6.6,227
17:10,6.4,229
17:20,6.2,231
17:30,6.0,233
17:40,5.8,235
17:50,5.6,237
18:00,5.4,239
18:10,5.2,241
18:20,5.0,243
18:30,4.8,245
18:40,4.6,247
18:50,4.4,249
19:00,4.2,251
19:10,4.0,253
19:20,3.8,255
19:30,3.6,257
19:40,3.4,259
19:50,3.2,261
20:00,3.0,263
20:10,2.8,265
20:20,2.6,267
20:30,2.4,269
20:40,2.2,271
20:50,2.0,273
21:00,1.8,275
21:10,1.6,277
21:20,1.4,279
21:30,1.2,281
21:40,1.0,283
21:50,0.8,285
22:00,0.6,287
22:10,0.5,289
22:20,0.6,291
22:30,0.7,293
22:40,0.8,295
22:50,0.9,297
23:00,1.0,299
23:10,1.1,301
23:20,1.2,303
23:30,1.3,305
23:40,1.4,307
23:50,1.5,309
